Data extracted on 26/04/2022 22:18:31 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,
Dataset: ,Gender pay gap in unadjusted form [SDG_05_20__custom_929505],,,,,,,,,,,,,,,,,,,,,
Last updated: ,25/02/2022 23:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Percentage,,,,,,,,,,,,,,,,,,,,
Statistical classification of economic activities in the European Community (NACE Rev. 2),,"Industry, construction and services (except public administration, defense, compulsory social security)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TIME,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,
Slovenia,0.9,,3.3,,4.5,,6.3,,7.0,,8.2,,8.1,,8.4,,9.3,,7.9,p,3.1,p
Slovakia,19.6,,20.1,,20.8,,18.8,,19.7,,19.7,,19.2,,20.1,,19.8,,18.4,,15.8,
Finland,20.3,,19.1,,19.2,,18.8,,18.4,,17.5,,17.5,,17.1,,16.9,,16.6,,16.7,
Sweden,15.4,,15.6,,15.5,,14.6,,13.8,,14.0,,13.3,,12.5,,12.1,,11.8,,11.2,
Iceland,17.7,,17.8,,17.7,,19.0,,16.7,,17.5,,15.8,,15.3,,13.8,,14.2,p,13.0,p
Norway,16.1,,15.7,,14.7,,15.5,,14.5,,16.0,,14.5,,13.7,,13.2,,13.2,dp,13.4,dp
Switzerland,17.8,,17.6,,17.4,,17.6,,17.4,,17.9,,17.4,,17.6,,18.6,,18.6,p,18.4,p
United Kingdom,23.3,b,21.8,,22.6,,21.0,,20.9,,21.0,,20.7,,20.8,,19.8,,:,,:,
Montenegro,:,,:,,:,,:,,7.7,,:,,:,,:,,:,,:,,:,
North Macedonia,:,,:,,:,,:,,9.1,,:,,:,,:,,:,,:,,:,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,6.8,,:,,:,
Serbia,:,,:,,:,,:,,8.7,,:,,:,,:,,9.6,,:,,:,
Turkey,:,,:,,:,,:,,-1.3,,:,,:,,:,,:,,:,,:,
,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,,,
dp,"definition differs (see metadata), provisional",,,,,,,,,,,,,,,,,,,,,
b,break in time series,,,,,,,,,,,,,,,,,,,,,
d,definition differs (see metadata),,,,,,,,,,,,,,,,,,,,,
e,estimated,,,,,,,,,,,,,,,,,,,,,
p,provisional,,,,,,,,,,,,,,,,,,,,,
